상품명,권장 연령,권장 사이즈,사료 종류,사료 형태,주 단백질원,알갱이 크기,제조국,원산지,조단백,조지방,조섬유,조회분,수분,칼슘,인,오메가3,오메가6,기타 영양소,주성분
다이소 펫그로우 골드 어덜트,어덜트,ALL,주식,건식,,,대한민국,대한민국,27%,16%,3%,9%,10%,1.3%,0.8%,0%,0%,,"['생닭고기', '닭고기분', '병아리콩', '렌틸 콩', '완두콩', '고구마분말', '바나나분말', '가수분해닭고기분(천연향미제)', '토마토', '비트', '브로콜리', '파슬리', '딸기', '오렌지', '사과', '망고', '바나나', '닭기름', '연어기름', '정제섬유소', '계란분말', '효모', '아마인', '식염', '레시틴', '메치오닌', '비타민 E', '비타민 C', '염화칼륨', '비타민제합제', '미광량물질류합제', '유기태 미네랄', '트립토판', '콘트로이틴', 'L-카르니틴', '글루코사민', '프로테아제', '프로바이오틱스', '베타카로틴', '프락토올리고당', '이눌린', '백리향', '울금', '페뉴그릭', '유카추출물']"
닥터도비 스킨&코트 피부건강,전연령,ALL,주식,건식,,0.6Cm,한국,한국,26%,12%,5%,10%,14%,0.9%,0.4%,0%,0%,,"['닭고기', '옥수수', '소맥', '소맥분', '치킨향오일', '비트펄프', '대두박', '육분', ""D'TECH 8L"", '과자가루', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A, D, E, K, B1, B2, B6, B12', '나이아신', '바이오틴', '엽산', '판토테산', '가수분해연어', '클로렐라', '오메가3', '오메가6']"
닥터도비 이지 투 다이제스트 장건강,전연령,ALL,주식,건식,,0.6Cm,한국,한국,26%,12%,5%,10%,14%,0.9%,0.4%,0%,0%,,"['닭고기', '옥수수', '소맥', '소맥분', '치킨향오일', '비트펄프', '대두박', '육분', ""D'TECH 8L"", '과자가루', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A, D, E, K, B1, B2, B6, B12', '나이아신', '바이오틴', '엽산', '판토테산', '프리바이오틱', '천연효모', '식이섬유']"
닥터도비 힙&조인트 관절건강,전연령,ALL,주식,건식,,0.6Cm,한국,한국,26%,12%,5%,10%,14%,0.9%,0.4%,0%,0%,,"['닭고기', '옥수수', '소맥', '소맥분', '치킨향오일', '비트펄프', '대두박', '육분', ""D'TECH 8L"", '과자가루', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A, D, E, K, B1, B2, B6, B12', '나이아신', '바이오틴', '엽산', '판토테산', '글루코사민', '콘드로이틴', '클로렐라']"
닥터독 피부모질 유기농,전연령,all,주식,건식,,1Cm,한국,한국,25%,6%,6.5%,6.5%,14%,0.2%,0.2%,0%,0%,,"['뼈를 제거한 연어', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민', '미네랄', '콜라겐', '엘시스테인', '오메가 지방산', '등']"
닥터독 관절 유기농 사료,전연령,all,주식,건식,,1Cm,한국,한국,23%,8%,6.5%,6.5%,14%,0.2%,0.5%,0%,0%,,"['뼈를 제거한 양고기', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민', '미네랄', '글루코사민', '상어 연골', '칼슘', '등']"
닥터독 위장 유기농 사료,전연령,all,주식,건식,,1Cm,한국,한국,24%,6%,7%,6.5%,14%,0.3%,0.2%,0%,0%,,"['뼈를 제거한 오리고기', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민', '미네랄', '유산균', '식이섬유', '알로에', '등']"
닥터독 시니어 유기농 사료,전연령,all,주식,건식,,1Cm,한국,한국,22%,7%,7%,6.5%,14%,0.2%,0.2%,0%,0%,,"['뼈를 제거한 양고기', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민', '미네랄', '글루코사민', '루테인', '홍삼', '등']"
닥터독 다이어트 유기농 사료,전연령,all,주식,건식,,1Cm,한국,한국,25%,4.5%,9%,6.5%,14%,0.2%,0.2%,0%,0%,,"['뼈를 제거한 닭고기', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '비타민', '미네랄', '가르시니아', 'L-카르니틴', '유산균', '식이섬유', '등']"
닥터독 팔진보감 유기농 한방사료,전연령,all,주식,건식,,1Cm,한국,한국,23%,7%,6.5%,6.5%,14%,0.2%,0.2%,0%,0%,,"['뼈를 제거한 소고기 원육', '유기농 고구마', '유기농 당근', '유기농 보리', '유기농 쌀', '유기농 호박', '유기농 블루베리', '유기농 딸기', '유기농 토마토', '유기농 녹두', '유기농 메밀', '유기농 현미', '유기농 호박씨', '유기농 해바라기씨', '유기농 아마씨', '가수분해 닭간', '비타민 C', '비타민 A', '비타민 D3', '비타민 E', '비타민 K3', '비타민 B2', '비타민 B6', '비타민 B12', '칼판', '나이아신', '비오틴', '엽산', '마그네슘', '철', '구리', '아연', '코발트', '셀레늄', '마늘분말', '산양유', '프로폴리스', '등']"
닥터독 위장 캔 오리고기,전연령,all,간식,습식,,,한국,한국,8%,6%,1%,4%,80%,0.5%,0.2%,0%,0%,,"['신선한 생오리', '닭고기', '브로콜리', '당근', '야채', '비타민', '미네랄', '유산균', '식이섬유', '알로에', '기타']"
닥터독 피부모질 캔 연어,전연령,all,간식,습식,,,한국,한국,8%,5%,1%,3%,80%,0.3%,1%,0%,0%,,"['신선한 연어', '닭고기', '브로콜리', '당근', '야채', '비타민', '미네랄', '콜라겐', '엘시스테인', '오메가 지방산', '기타']"
닥터독 관절 캔 양고기,전연령,all,간식,습식,,,한국,한국,8.3%,5%,1%,4%,80%,0.4%,0.2%,0%,0%,,"['어린 생양고기', '닭고기', '브로콜리', '당근', '야채', '비타민', '미네랄', '글루코사민', '상어 연골', '칼슘', '기타']"
닥터독 관절 캔 양고기,전연령,all,간식,습식,,,한국,한국,8.3%,5%,1%,3%,80%,0.4%,1%,0%,0%,,"['어린 생양고기', '브로콜리', '당근', '야채', '글루코사민', '루테인', '홍삼', '등']"
닥터 팀 RPM 그레인프리,전연령,ALL,주식,건식,,1.2Cm,미국,미국,32%,18%,4.5%,8%,10%,1.2%,1%,1.25%,2.5%, DHA (0.22 %)이상 EPA (0.34 %)이상,"['분쇄한 연어', '건조 돼지고기', '건조 흰감자', '완두분', '타피오카', '건조통달걀', '병아리콩', '닭지방', '건조 돼지고기 (16%)', '건조 비트펄프', '맨헤이든 오일(천연 비타민 E로 보존)', '통째로 갈은 아마씨', '천연향', '건조 돼지 혈청', '레시틴', '건조 바실러스 코아귤런스(BC30)', '탄산 칼슘', '말린 당근', '말린 샐러리', '말린 사탕무', '말린파슬리', '말린상추', '말린 물냉이', '말린 시금치', 'L-라이신', '말린 치커리 뿌리', '유카 추출물', '차전자피', 'DL-메티오닌', '염화콜린', '건조 해초', '타우린', '소금', 'L-아스코르브산', '비타민 E', '황산아연', '아연프로티네이트', '베타카로틴', '황산제일철', '황산망간', '이노시톨', '나이아신', '철프로티네이트', '망간프로티네이트', '산화아연', '비오틴', '티아민 질산염', '황산구리', '피리독신', '구리프로티네이트', '비타민 A', '리보플라빈', '판토텐산 칼슘', '요오드화칼륨', '산화망간', '셀레늄', '요오드화칼슘', '비타민 B12', '비타민 D3', 'L-카르니틴', '엽산']"
닥터 팀 키네시스 그레인프리,전연령,ALL,주식,건식,,1.2Cm,미국,미국,32%,18%,4.5%,8%,10%,1.2%,1%,0.98%,3.2%, DHA (0.13 %)이상 EPA (0.2 %)이상,"['분쇄한 닭고기', '건조 흰감자', '완두분', '닭고기 지방(천연 토코페롤 보존)', '타피오카', '건조 비트펄프', '건조계란', '분쇄한 메기', '분쇄한 바다 청어', '통째로 갈은 아마씨', '맨헤이든유', '분쇄한 닭 간', '분쇄한 연어', '건조 돼지 혈청', '건조 당근', '말린 샐러리', '건조 파슬리', '말린상추', '말린 물냉이', '말린 시금치', '제2인산칼슘', '소금', '염화칼륨', '레시틴', '건조 바실러스 코아귤런스(BC30)', '건조 켈프', '말린 치커리뿌리', 'L-라이신', 'DL-메티오닌', '차전자피', '유카 추출물', '염화콜린', 'L-아스코르브산', '비타민 E', '황산아연', '아연프로티네이트', '베타 카로틴', '황산제일철', '황산망간', '이노시톨', '나이아신', '철프로티네이트', '망간프로티네이트', '산화아연', '비오틴', '티아민 질산염', '황산구리', '피리독신', '구리프로티네이트', '비타민 A', '리보플라빈', '판토텐산 칼슘', '요오드화칼륨', '산화망간', '아셀렌산나트륨', '요오드화칼슘', '비타민 B12', '비타민 D3', '타우린', 'L-카르니틴', '엽산']"
닥터 팀 펄슛,전연령,ALL,주식,건식,,1.2Cm,미국,미국,30%,20%,3%,7%,10%,1.2%,1%,1.1%,3.5%, DHA (0.2 %)이상 EPA (0.28 %)이상,"['분쇄한 닭고기', '현미가루', '닭고기 지방(천연 토코페롤 보존)', '귀리가루', '건조 비트펄프', '건조계란', '쌀겨', '맨헤이든유', '분쇄한 청어', '통째로 갈은 아마씨', '분쇄한 메기', '분쇄한 닭 간', '분쇄한 연어', '건조 돼지 혈청', '레시틴', '건조 바실러스 코아귤런스(BC30)', 'DL-메티오닌', 'L-라이신', '말린 켈프', '말린 치커리뿌리', '유카 추출물', '차전자피', '염화콜린', '소금', '타우린', '아스코르빈산', '비타민 E', '황산아연', '아연프로티네이트', '베타 카로틴', '황산제일철', '황산망간', '이노시톨', '나이아신', '철프로티네이트', '망간프로티네이트', '산화아연', '비오틴', '티아민 질산염', '황산구리', '피리독신', '구리프로티네이트', '비타민 A', '리보플라빈', '판토텐산 칼슘', '요오드화칼륨', '산화망간', '비타민 B12', '아셀렌산나트륨', '비타민 D3', 'L-카르니틴', '엽산']"
도비 어덜트,전연령,all,주식,건식,,,한국,한국,25%,10%,5%,15%,0%,0.9%,1.5%,0%,0%,,"['닭고기', '옥수수', '소맥', '소맥분', '계유', '쌀', '대두박', '육골분', '유지', '과자가루', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A', '비타민 D', '비타민 E', '비타민 K', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '나이아신', '바이오틴', '엽산', '판토텐산']"
도비 다이어트 사료,전연령,all,보충식,건식,,,한국,한국,18%,6%,10%,10%,0%,0.9%,1.2%,0%,0%,,"['닭고기', '곡물류', '박류', '계유', '천일염', '인산2칼슘', '비타민 프리믹스', '미네랄 프리믹스', 'DL-메치오닌']"
도비 양고기,전연령,소형견,주식,건식,,,한국,한국,24%,12%,8%,10%,0%,0.9%,1.2%,0%,0%,,"['양고기', '곡물류', '소맥피', '브로콜리', '허브', '파슬리', '대두박', '옥수수 글루텐', '비트펄프', '가금부산물', '수지박', '계유', '탄산칼슘', '염화콜린', '합성아미노산', '벤토나이트', '효모배양물', '향산화제', '향곰팡이제', '비타민 프리믹스', '미네랄 프리믹스', '유카추출물', '야채분말']"
도비 퍼피,퍼피,all,주식,건식,,,한국,한국,30%,15%,4%,11%,0%,1.2%,1.5%,0%,0%,,"['닭고기', '옥수수', '쌀', '계유', '소맥피', '대두박', '육골분', '유지', '과자가루', '인산칼슘', '식염', '염화칼륨', '산화아연', '라이신', '폴릭산', '키토산', '유카추출물', '철', '망간', '코발트', '셀레늄', '비타민 A', '비타민 D', '비타민 E', '비타민 K', '비타민 B1', '비타민 B2', '비타민 B12', '나이아신', '바이오틴', '엽산', '판토텐산']"
도비 시니어,시니어,all,주식,건식,,,한국,한국,23%,8%,7%,10%,0%,0.9%,1.3%,0%,0%,,"['닭고기', '옥수수', '소맥', '소맥분', '치킨향오일', '비트펄프', '대두박', '과자가루', '석회석', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A', '비타민 D', '비타민 E', '비타민 K', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '나이아신', '바이오틴', '엽산', '판토텐산']"
도비 진도,전연령,ALL,주식,건식,,,한국,한국,23%,8%,7%,10%,0%,0.9%,1.3%,0%,0%,,"['닭고기', '쌀', '소맥분', '옥수수', '야채', '대두박', '육골분', '소맥분', '소맥피', '유지', '치킨향오일', '효모추출물', '인산칼슘', '식염', '콜린', '키토산', '유카추출물', '철', '망간', '아연', '코발트', '셀레늄', '비타민 A', '비타민 D', '비타민 E', '비타민 K', '비타민 B1', '비타민 B2', '비타민 B6', '비타민 B12', '나이아신', '바이오틴', '엽산', '판토텐산']"
도비 양고기,전연령,ALL,주식,습식,,,한국,한국,7%,4%,1%,3%,0%,0.05%,0.5%,0%,0%,,"['양고기', '닭고기', '쇠고기', '젤 파우더', '밀글루텐', '대두유', '옥수수', '수분']"
도비 닭고기,전연령,ALL,주식,습식,,,한국,한국,6%,5.5%,1%,3%,0%,0.05%,0.3%,0%,0%,,"['닭고기', '젤 파우더', '대두유', '옥수수', '수분']"
도비 쇠고기,전연령,ALL,주식,습식,,,한국,한국,7%,9%,1%,3%,0%,0.05%,0.3%,0%,0%,,"['쇠고기', '닭고기', '젤 파우더', '맥아추출물', '수분']"
도비 닭고기와 야채,전연령,ALL,주식,습식,,,한국,한국,6%,5.5%,1%,3%,0%,0.05%,0.3%,0%,0%,,"['닭고기', '당근', '완두콩', '젤 파우더', '대두유', '옥수수', '수분']"
도비 쇠고기와 야채,전연령,ALL,주식,습식,,,한국,한국,7%,9%,1%,3%,0%,0.05%,0.3%,0%,0%,,"['쇠고기', '닭고기', '당근', '완두콩', '젤 파우더', '맥아추출물', '수분']"
디어니스트키친 그레인프리 치킨,어덜트/시니어,전 견종,주식,에어드라이,닭고기,,미국,미국,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
디어니스트키친 그레인프리 칠면조,전 연령,전 견종,주식,에어드라이,칠면조,,미국,미국,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
디어니스트키친 홀그레인 칠면조,어덜트/시니어,전 견종,주식,에어드라이,칠면조,,미국,미국,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
디어니스트키친 부처블럭 파테 치킨&수퍼그린,전 연령,전 견종,주식,습식,닭고기,,미국,미국,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
디어니스트키친 부처블럭 파테 칠면조&가을채소,전 연령,전 견종,주식,습식,칠면조,,미국,미국,0%,0%,0%,0%,0%,0%,0%,0%,0%,,['']
로얄캐닌 엑스스몰 퍼피,퍼피,소형견,주식,건식,,,프랑스,프랑스,31%,20%,1.5%,7.1%,0%,1.25%,1.05%,0.74%,3.99%, EPA+DHA (0.25 ),"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '쌀', '옥수수', '동물성지방(가금류, 돼지)', '식물성단백질분리물(밀)', '옥수수분말', '가수분해동물단백질(가금류, 생선)', '비트펄프', '옥수수 글루텐', '킬레이트 미네랄', '대두유', '생선오일', '차전자피(1%)', '프락토올리고당', '가수분해효모(만난 올리고당의 원료)', '지방산염', '효무추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '비타민(A, D3, E등)', '제올라이트', '유카추출물']"
로얄캐닌 엑스-스몰 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,24%,18%,1.7%,5.7%,0%,0%,0%,0%,0%,,"['쌀', '탈수 가금육', '마이즈', '동물성지방', '마이즈 분말', '마이즈 글루텐', '가수분해 동물 단백질', '식물성 단백질 분리물', '치커리 추출물', '미네랄', '콩오일', '차전자파와 씨', '효모', '생선 오일', '프럭토-올리고당', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 엑스-스몰 어덜트8+,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,24%,18%,1.6%,5.2%,0%,0%,0%,0%,0%,,"['쌀', '마이즈 분말', '탈수가금육', '동물성지방', '마이즈', '마이즈 글루텐', '식물성 단백질 분리물', '치커리 추출물', '미네랄', '콩 오일', '효모', '차전자피와씨', '생선오일', '프럭토-올리고당', '보라지 오일', '녹차 추출물', '포도 추출물', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 엑스-스몰에이징12+,시니어,소형견,주식,건식,,1Cm,프랑스,프랑스,24%,16%,1.8%,5%,0%,0%,0%,0%,0%,,"['쌀', '마이즈 분말', '마이즈', '탈수 가금육', '동물성 지방', '마이즈 글루텐', '식물성 단백질', '가수분해 동물 단백질', '치커리 추출물', '미네랄', '생선 오일', '콩오일', '탈수 토마토(라이코펜의 원료)', '차전자파와 씨', '프럭토-올리고당', '가수분해 효모(만난-올리고당의 원료)', '보라지 오일', '녹차 추출물', '포도 추출물', '금잔화 추출물(루테인의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니 스타터 마더&베이비독,퍼피,소형견,주식,건식,,,프랑스,프랑스,30%,22%,1.3%,8%,0%,1.29%,1.01%,0.97%,5.02%, EPA+DHA (0.31 ),"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '쌀', '동물성지방(가금류,돼지)', '식물성 단백질 분리물(밀)', '옥수수', '사탕무박', '가수분해 동물단백질(가금류, 생선)', '킬레이트 미네랄', '생선오일', '대두유', '프락토 올리고당', '가수분해효모(만난 올리고당의 원료)', '지방산염', '효무추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '비타민(A,D3,E등)', '제올라이트']"
로얄캐닌 미니 퍼피,퍼피,소형견,주식,건식,,1Cm,프랑스,프랑스,31%,20%,1.4%,7.7%,0%,1.25%,1%,0.75%,3.95%, EPA+DHA (0.25 ),"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '쌀', '동물성지방(가금류,돼지)', '식물성 단백질 분리물(밀)', '옥수수', '사탕무박', '옥수수분말', '가수분해 동물단백질(가금류, 생선)', '옥수수 글루텐', '킬레이트 미네랄', '생선오일', '대두유', '프락토올리고당(0.34%)', '가수분해효모(만난 올리고당의 원료)', '지방산염', '효무추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '비타민(A,D3,E등)', '제올라이트', '유카추출물']"
로얄캐닌 미니 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,27%,16%,1.3%,5.3%,0%,0%,0%,0%,0%,,"['마이즈', '마이즈 분말', '탈수 가금육', '동물성 지방', '마이즈 글루텐', '가수분해 동물 단백질', '식물성 단백질 분비물', '사탕무 과육', '효모', '미네랄', '콩 오일', '생선 오일', '프럭토 올리고당', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', 'L-카르니틴', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니 인도어 퍼피,퍼피,소형견,주식,건식,,,프랑스,프랑스,27%,18%,1.5%,7.8%,0%,1.27%,1%,0.71%,3.46%, EPA+DHA (0.25 ),"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '쌀', '동물성지방(가금류, 돼지)', '옥수수', '식물성 단백질 분리물(밀)', '옥수수분말', '사탕무박', '가수분해 동물 단백질(가금류, 생선)', '킬레이트 미네랄', '옥수수 글루텐', '생선오일', '대두유', '프락토올리고당', '가수분해효모(만난 올리고당의 원료)', '지방산염', '효모추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '비타민(A, D3, E등)', '제올라이트', '유카추출물']"
로얄캐닌 미니 인도어 어덜트,어덜트,소형견,주식,건식,,1Cm,프랑스,프랑스,21%,14%,1.9%,6.1%,0%,0%,0%,0%,0%,,"['쌀', '탈수가금육', '마이즈', '동물성지방', '식물성 단백질 분리물', '가수분해 동물 단백질', '사탕무 과육', '미네랄', '콩오일', '식물성 식이섬유', '가수분해 효모', '생선 오일', '프럭토-올리고당', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니 인도어 어덜트 8+,어덜트,소형견,주식,건식,,,프랑스,프랑스,24%,14%,1.8%,5.9%,0%,0%,0%,0%,0%,,"['쌀', '탈수가금육', '마이즈', '식물성 단백질 분리물', '동물성 지방', '가수분해 동물 단백질', '미네랄', '사탕무 과육', '콩오일', '식물성 섬유소', '가수분해 효모', '생선 오일', '프럭토-올리고당', '보라지 오일', '금잔화 추출물(루테인의 원료)', '녹차 추출물', '포도 추출물', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '삼인산나트륨', '방부제', '항산화제']"
로얄캐닌 미니 스테럴라이즈드,전연령,소형견,주식,건식,,0.8Cm,프랑스,프랑스,30%,13%,6.4%,5.3%,0%,0%,0%,0%,0%,,"['옥수수', '탈수가금육', '밀', '옥수수글루텐', '식물성 단백질 분리물', '식물성 섬유소', '동물성 지방', '가수분해 동물 단백질', '사탕무 과육', '효모', '생선오일', '콩오일', '프럭토-올리고당', '차전자피와 씨', '보라지오일', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', 'L-카르니틴', '제올라이트', '방부제', '항산화제']"
로얄캐닌 미니 더마컴포트,전연령,소형견,주식,건식,,0.8Cm,프랑스,프랑스,26%,17%,1.4%,5.5%,0%,0%,0%,0%,0%,,"['쌀', '밀 글루텐', '동물성 지방', '옥수수 글루텐', '껍질을 벗긴 귀리', '옥수수', '가수분해 가금간', '미네랄', '콩오일', '사탕무 과육', '생선오일(EPA & DHA의 공급원)', '금잔화 추출물(루테인의 공급원)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '제올라이트', '방부제', '항산화제']"
로얄캐닌 마나 라이트 웨이트 케어(구 미니 라이트),전연령,소형견,주식,건식,,0.8Cm,프랑스,프랑스,30%,11%,6.8%,5.1%,0%,0%,0%,0%,0%,,"['탈수가금육', '옥수수', '보리', '쌀', '옥수수글루텐', '식물성단백질분리물', '식물성섬유소', '가수분해 동물단백질', '사탕무 과육', '셀룰로오즈 가루', '미네랄', '생선 오일', '효모', '콩오일', '프럭토-올리고당', '차전자피와씨', '보라지오일', '녹차추출물(폴리페놀 원천)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', 'L-카르니틴', '방부제', '항산화제']"
로얄캐닌 미니 다이제스티브케어(구 미니 센서블),전연령,소형견,주식,건식,,0.7Cm,프랑스,프랑스,30%,22%,1.8%,6.1%,0%,0%,0%,0%,0%,,"['탈수가금육', '쌀', '동물성지방', '식물성 단백질 분비물', '밀가루', '밀', '가수분해 동물단백질', '보리', '옥수수 글루텐', '사탕무과육', '효모', '생선오일', '식물성 섬유', '콩오일', '미네랄', '프럭토-올리고당', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '제올라이트', '방부제', '항산화제']"
로얄캐닌 미디움 퍼피,퍼피,중형견,주식,건식,,,프랑스,프랑스,32%,20%,1.7%,8%,0%,1.29%,1.08%,0.74%,3.23%, EPA+DHA (0.3 ),"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '동물성지방(가금류, 돼지)', '옥수수', '식물성 단백질분리물(밀)', '사탕무박', '옥수수 글루텐', '쌀', '밀', '옥수수분말', '킬레이트 미네랄', '생선오일', '대두유', '효모', '프락토올리고당(0.34%)', '가수분해효모(만난 올리고당의 원료)', '효모추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '비타민(A, D3, E등)', '제올라이트', '유카추출물']"
로얄캐닌 미디움 어덜트,어덜트,중형견,주식,건식,,,프랑스,프랑스,30%,16%,2.6%,7.7%,0%,1.26%,1.07%,0.55%,2.75%, EPA+DHA (0.2 ),"['탈수가금육', '마이즈 분말', '마이즈', '밀가루', '동물성 지방', '탈수 돈육 단백질', '밀', '가수분해 동물성 단백질', '사탕무 과육', '생선오일', '콩오일', '효모', '미네랄', '가수분해 효모(만난-올리고당의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '방부제', '항산화제']"
로얄캐닌 맥시 퍼피,퍼피,대형견,주식,건식,,,프랑스,프랑스,30%,16%,2.7%,8.5%,0%,0%,0%,0%,0%,,"['탈수가금단백질(닭)', '탈수가금단백질(칠면조)', '쌀', '옥수수분말', '식물성 단백질 분리물(밀)', '동물성지방(가금류, 돼지)', '옥수수분말', '밀가루', '가수분해 동물 단백질(가금류, 생선)', '사탕무박', '옥수수글루텐', '킬레이트 미네랄', '식물성 섬유소', '대두유', '생선오일', '프락토올리고당(0.34%)', '차천자피', '가수분해효모(만난 올리고당의 원료)', '지방산염', '효모추출물(베타글루칸의 원료)', '금잔화추출물(루테인의 원료)', '가수분해 연골(콘드로이친의 원료)', '가수분해 갑각류(글루코사민의 원료)', '비타민(A, D3, E등)', '제올라이트', '유카추출물']"
로얄캐닌 맥시 어덜트,어덜트,대형견,주식,건식,,1Cm,프랑스,프랑스,26%,17%,1.2%,6.3%,0%,0%,0%,0%,0%,,"['마이즈', '탈수 가금육', '마이즈 분말', '동물성 지방', '탈수 돈육 단백질', '가수분해 동물 단백질', '사탕무 과육', '마이즈 글루텐', '미네랄', '생선 오일', '콩오일', '효모', '가수분해 갑각류(글루코사민의 원료)', '가수분해 연골(콘드로이틴의 원료)', '비타민A', '비타민D3', '철', '요오드', '구리', '망간', '아연', '셀레늄', '방부제', '항산화제']"
로얄캐닌 PRO 맥시 스타터,퍼피,대형견,주식,건식,,,프랑스,프랑스,30%,22%,6.3%,7%,8%,0%,0%,0%,0%,,"['쌀', '탈수가금육', '동물성 지방', 'LIP식물성 단백질 추출물', '마이즈', '사탕무과육', '가수분해된 동물성 단백질', 'LIP동물성 단백질', '미네랄', '생선오일', '콩오일', '(FOS)프럭토-올리고당', 'L-라이신', '가수분해된 효모 추출물(만난-올리고당이 풍푸)', '계란분말', '타우린', '금잔화 추출물(루테인이 풍부)', 'DL-메티오닌', 'L-카르니틴']"
